postgres-1  | 2025-10-20 22:50:20.011 UTC [49085] DETAIL:  Role "postgres" does not exist.
postgres-1  |   Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-20 22:50:20.629 UTC [49086] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-20 22:50:20.629 UTC [49086] DETAIL:  Role "postgres" does not exist.
postgres-1  |   Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-20 22:50:21.257 UTC [49087] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-20 22:50:21.257 UTC [49087] DETAIL:  Role "postgres" does not exist.
postgres-1  |   Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-20 22:50:21.902 UTC [49088] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-20 22:50:21.902 UTC [49088] DETAIL:  Role "postgres" does not exist.
postgres-1  |   Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-20 22:50:22.553 UTC [49089] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-20 22:50:22.553 UTC [49089] DETAIL:  Role "postgres" does not exist.
postgres-1  |   Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-20 22:50:23.203 UTC [49090] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-20 22:50:23.203 UTC [49090] DETAIL:  Role "postgres" does not exist.
postgres-1  |   Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-20 22:50:23.849 UTC [49091] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-20 22:50:23.849 UTC [49091] DETAIL:  Role "postgres" does not exist.
postgres-1  |   Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-20 22:50:24.486 UTC [49092] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-20 22:50:24.486 UTC [49092] DETAIL:  Role "postgres" does not exist.
postgres-1  |   Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-20 22:50:25.122 UTC [49100] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-20 22:50:25.122 UTC [49100] DETAIL:  Role "postgres" does not exist.
postgres-1  |   Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-20 22:50:25.753 UTC [49101] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-20 22:50:25.753 UTC [49101] DETAIL:  Role "postgres" does not exist.
postgres-1  |   Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-20 22:50:26.398 UTC [49103] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-20 22:50:26.398 UTC [49103] DETAIL:  Role "postgres" does not exist.
postgres-1  |   Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
